object,count,location_raw,north,east,us_category,country,launch_year
Ranger 4,,"-15.5  ̊ N, -130.7 E",-15.5,-130.7,Non-Apollo,US,1962
Ranger 6,,"9.388  ̊ N, 21.480  ̊ E",9.388,21.48,Non-Apollo,US,1964
Ranger 7,,"-10.63  ̊ N, -20.60  ̊ E",-10.63,-20.6,Non-Apollo,US,1964
Ranger 8,,"2.638  ̊ N, 24.787  ̊ E",2.638,24.787,Non-Apollo,US,1965
Ranger 9,,"112.828  ̊ N, -2.387  ̊ E",112.828,-2.387,Non-Apollo,US,1965
Surveyor 1,,"-2.474  ̊ N, -43.339  ̊ E",-2.474,-43.339,Non-Apollo,US,1966
Lunar Orbiter 1,,"6.70  ̊ N, 162  ̊ E",6.7,162,Non-Apollo,US,1966
Surveyor 2,,"5.5  ̊ N, -12  ̊ E",5.5,-12,Non-Apollo,US,1966
Lunar Orbiter 2,,"3.0  ̊ N, 119  ̊ E",3,119,Non-Apollo,US,1966
Lunar Orbiter 3,,"14.3  ̊ N, -97.7 E",14.3,-97.7,Non-Apollo,US,1967
Surveyor 3,,"-3.015  ̊ N, -23.418  ̊ E",-3.015,-23.418,Non-Apollo,US,1967
Lunar Orbiter 4,,Crashed,Crashed,,Non-Apollo,US,1967
Surveyor 4,,UNKNOWN,UNKNOWN,,Non-Apollo,US,1967
Explorer 35 (IMP-E),,UNKNOWN,UNKNOWN,,Non-Apollo,US,1967
Lunar Orbiter 5,,"-3  ̊ N, -83  ̊ E",-3,-83,Non-Apollo,US,1967
Surveyor 5,,"1.461  ̊ N, 23.195  ̊ E",1.461,23.195,Non-Apollo,US,1967
Surveyor 6,,"0.473  ̊ N, -1.427  ̊ E",0.473,-1.427,Non-Apollo,US,1967
Surveyor 7,,"-40.980  ̊ N, -11.509  ̊ E",-40.98,-11.509,Non-Apollo,US,1968
Explorer 49 (RAE-B),,UNKNOWN,UNKNOWN,,Non-Apollo,US,1973
Lunar Prospector,,UNKNOWN,UNKNOWN,,Non-Apollo,US,1998
LCROSS Shepherding Spacecraft,,"-84.72  ̊ N, -49.62  ̊ E (South Pole)",-84.72,-49.62,Non-Apollo,US,2009
LCROSS Centaur,,"-84.9  ̊ N, -35.5  ̊ E (South Pole)",-84.9,-35.5,Non-Apollo,US,2009
Landing Location,,"0.41  ̊ N, 23.26  ̊ E",0.41,23.26,Apollo 11,US,1969
Passive Seismic Experiment (see below),,,,,Apollo 11,US,1969
Gold Olive Branch,1,,,,Apollo 11,US,1969
Flag Kit,1,,,,Apollo 11,US,1969
"Apollo 1 Patch(Honoring deceased astronauts Grissom,White, Chaffee)",1,,,,Apollo 11,US,1969
"CosmonautMedals(Honoring deceased cosmonauts Gagarin,Komarov)",2,,,,Apollo 11,US,1969
Moon Memorial Disc,1,UNKNOWN,UNKNOWN,,Apollo 11,US,1969
Ascent Stage  ,1,"0.67337  ̊ N, 23.47293  ̊ E",0.67337,23.47293,Apollo 11,US,1969
Lunar Retro-Ranging Reflector Experiment,1,"0.67408  ̊ N, 23.47297  ̊ E",0.67408,23.47297,Apollo 11,US,1969
LM Descent Stage (plaque attached),,,,,Apollo 11,US,1969
"Filter, Polarizing",1,,,,Apollo 11,US,1969
Portable Life Sup[p1o]rt System(PLSS),2,,,,Apollo 11,US,1969
Remote Control Unit (PISS),2,,,,Apollo 11,US,1969
Defecation Collection Device,4,,,,Apollo 11,US,1969
"Overshoes , Lunar",2,,,,Apollo 11,US,1969
"Covers, pga Gas Connector",2,,,,Apollo 11,US,1969
"Kit, Electric waist, Tether ",2,,,,Apollo 11,US,1969
"Bag, Assembly, Lunar equipment conveyor & waist tether",1,,,,Apollo 11,US,1969
"Conveyor assembly, Lunar Equipment",1,,,,Apollo 11,US,1969
"Bag, Deployment, Life Line",1,,,,Apollo 11,US,1969
"Bag, Deployment, Lunar equip. conveyor",1,,,,Apollo 11,US,1969
"Life Line, lightweight",,,,,Apollo 11,US,1969
"Tether waist, EVA",2,,,,Apollo 11,US,1969
"Tether waist, EVA ",2,,,,Apollo 11,US,1969
"Food Assembly, LM (4 man days)",1,,,,Apollo 11,US,1969
"TV subsystem, Lunar",1,,,,Apollo 11,US,1969
"Camera , Lunar TV ",1,,,,Apollo 11,US,1969
"Lens, TV wide angle",1,,,,Apollo 11,US,1969
"Lens, TV Lunar, day ",1,,,,Apollo 11,US,1969
"Cable assembly, TV (100 ft.)",1,,,,Apollo 11,US,1969
"Adapter, SRC/OPS  ",2,,,,Apollo 11,US,1969
"Cannister, ECS LIOH",2,,,,Apollo 11,US,1969
"Urine collection assembly, small",2,,,,Apollo 11,US,1969
"Urine collection assembly, large",2,,,,Apollo 11,US,1969
"Bag, Emesis",4,,,,Apollo 11,US,1969
"Container assembly, Disposal",1,,,,Apollo 11,US,1969
"Filter, Oxygen bacterial",1,,,,Apollo 11,US,1969
"Container, PLSS Condendate",,,,,Apollo 11,US,1969
"Antenna, S-Band",1,,,,Apollo 11,US,1969
"Cable, S-Band antenna",1,,,,Apollo 11,US,1969
"Bag, Lunar Equipment Transfer",1,,,,Apollo 11,US,1969
Pallet assembly #1,1,,,,Apollo 11,US,1969
Passive seismic experiment,1,,,,Apollo 11,US,1969
Central Station,,,,,Apollo 11,US,1969
Pallet Assembly #2,,,,,Apollo 11,US,1969
Primary structure assembly,,,,,Apollo 11,US,1969
Hammer,1,,,,Apollo 11,US,1969
"Scoop, Lunar sample-large",1,,,,Apollo 11,US,1969
Extension handle,1,,,,Apollo 11,US,1969
Tongs,1,,,,Apollo 11,US,1969
Gnomon (Excludes mount) ,1,,,,Apollo 11,US,1969
Landing Location,,"-3.11  ̊ N, -23.23  ̊ E",-3.11,-23.23,Apollo 12,US,1969
Passive Seismic Experiment (see experiment below),,,,,Apollo 12,US,1969
Lunar Surface Magnetometer (see experiment below),,,,,Apollo 12,US,1969
Solar Wind Spectrometer (see experiment below),,,,,Apollo 12,US,1969
Suprathermal Ion Detector/Cold Cathode Gauge (SIDE/CCGE) (see below),,,,,Apollo 12,US,1969
Radioisotope Thermal Generator (see experiment below),,,,,Apollo 12,US,1969
Flag Kit ,1,,,,Apollo 12,US,1969
Surveyor 3,see above under U.S. Material (Non-Apollo),,,,Apollo 12,US,1969
LM Ascent Stage,1,"-3.94  ̊ N, -21.20  ̊ E",-3.94,-21.2,Apollo 12,US,1969
Central Station,,"-3.00942  ̊ N, -23.42458  ̊ E",-3.00942,-23.42458,Apollo 12,US,1969
LM Descent Stage (plaque attached),1,"-3.01239  ̊ N, -23.42157  ̊ E",-3.01239,-23.42157,Apollo 12,US,1969
"Camera, Lunar Surface, Electric Hasselblad",2,,,,Apollo 12,US,1969
"Lens , 60mm",2,,,,Apollo 12,US,1969
"Adapter. Rt. Angle,16mm camera",1,,,,Apollo 12,US,1969
"Cable, Remote Control, 16mm camera",1,,,,Apollo 12,US,1969
"Protective cover, Reseau",2,,,,Apollo 12,US,1969
"Trigger, Electric Hasselblad Camera",2,,,,Apollo 12,US,1969
"Handle, Electric Hasselblad Camera ",2,,,,Apollo 12,US,1969
"Tether , EVA Retractable ",2,,,,Apollo 12,US,1969
"Cutter, for Surveyor Lunar Probe sample",1,,,,Apollo 12,US,1969
Remote Control Unit-PLSS,2,,,,Apollo 12,US,1969
"Bracket, Camera mount",2,,,,Apollo 12,US,1969
"Cartridge / Canister, PLSS LIOH",2,,,,Apollo 12,US,1969
"Battery, PLSS",2,,,,Apollo 12,US,1969
Defecation Collection Device,4,,,,Apollo 12,US,1969
"Overshoes, Lunar pair",2,,,,Apollo 12,US,1969
"Kit, Lec -Waist tether",1,,,,Apollo 12,US,1969
"Conveyor assembly, Lunar Equipment",1,,,,Apollo 12,US,1969
"Deployment Bag, Lunar equipment conveyor",1,,,,Apollo 12,US,1969
PLSS/EVCS Assembly,1,,,,Apollo 12,US,1969
PLSS/EVCS Assembly ,1,,,,Apollo 12,US,1969
"Collection bag, Calibrated, PLSS Feedwater w/scale",1,,,,Apollo 12,US,1969
"Collection bag, Calib. PLSS Feedwater w/o scale",3,,,,Apollo 12,US,1969
"Safety Line, Lunar Surface",1,,,,Apollo 12,US,1969
"Towels, LM utility (Red)",2,,,,Apollo 12,US,1969
"Towels, LM utility (Blue) ",2,,,,Apollo 12,US,1969
"TV System, LM Color",1,,,,Apollo 12,US,1969
"Camera, LM Color TV ",1,,,,Apollo 12,US,1969
"Zoom Lens, LM TV",1,,,,Apollo 12,US,1969
"Cable, LM TV Adapter",1,,,,Apollo 12,US,1969
Earplugs  ,2,,,,Apollo 12,US,1969
"Adapter, SRC/OPS",2,,,,Apollo 12,US,1969
Interim Stowage Assembly ,1,,,,Apollo 12,US,1969
"Canister, ECS LIOH",1,,,,Apollo 12,US,1969
Urine Collection Assembly (Small),1,,,,Apollo 12,US,1969
"Bag, Emesis",4,,,,Apollo 12,US,1969
"Container Assembly, Disposal",1,,,,Apollo 12,US,1969
"Container Assembly, Disposal",1,,,,Apollo 12,US,1969
"Container, PLSS Condensate",1,,,,Apollo 12,US,1969
"Antenna, S-Band",1,,,,Apollo 12,US,1969
"Tripod, TV",1,,,,Apollo 12,US,1969
"Strap, ECS LIOH Canister",1,,,,Apollo 12,US,1969
"Bag, Camera Mount Bracket",1,,,,Apollo 12,US,1969
Hammock Assembly,1,,,,Apollo 12,US,1969
"Bracket, Installation Color TV Camera",1,,,,Apollo 12,US,1969
Mounting Assembly RTG Fuel Cask  ,1,,,,Apollo 12,US,1969
Fuel Cask,1,,,,Apollo 12,US,1969
Fuel Capsule Assembly,1,,,,Apollo 12,US,1969
Prime ALSEP pallet assembly #1 (d),,,,,Apollo 12,US,1969
Prime ALSEP pallet assembly #2 (e),,,,,Apollo 12,US,1969
Hammer,1,,,,Apollo 12,US,1969
"Scoop, Lunar Sample",1,,,,Apollo 12,US,1969
Extension Handle,1,,,,Apollo 12,US,1969
Tongs,1,,,,Apollo 12,US,1969
Gnomon,1,,,,Apollo 12,US,1969
"Hook, Tether",2,,,,Apollo 12,US,1969
"Camera, Close-up stereo",1,,,,Apollo 12,US,1969
Contrast Target,3,,,,Apollo 12,US,1969
Color Chart,1,,,,Apollo 12,US,1969
(d) LS Magnetometer experiment,1,,,,Apollo 12,US,1969
(d) Passive seismic experiment ,1,,,,Apollo 12,US,1969
(d) Solar wind experiment,1,,,,Apollo 12,US,1969
(e) Radioisotope Thermoelectric Generator Experiment,1,,,,Apollo 12,US,1969
(e) Subthermal lon Detector / CCGE experiment,1,,,,Apollo 12,US,1969
(e) PSE leveling stool,1,,,,Apollo 12,US,1969
(e) Lunar Geological Hand Tool Carrier w/ tools,1,,,,Apollo 12,US,1969
"Filter, polarizing",1,,,,Apollo 12,US,1969
"(a) Bag, assembly, LEC  Waist",1,,,,Apollo 12,US,1969
(b) PLSS,1,,,,Apollo 12,US,1969
(b) EVCS-1,1,,,,Apollo 12,US,1969
(c) PLSS ,1,,,,Apollo 12,US,1969
(c) EVCS-2,1,,,,Apollo 12,US,1969
Astronaut Wings (C.C. Williams),1,,,,Apollo 12,US,1969
Astronaut Wings (Alan Bean),1,,,,Apollo 12,US,1969
Automatic Timer for Hasselblad ,1,,,,Apollo 12,US,1969
S-IVB,,"-2.553  ̊ N, 27.887  ̊ E",-2.553,27.887,Apollo 13,US,1970
Landing Location,," -3.40  ̊ N, -17.28  ̊ E",-3.4,-17.28,Apollo 14,US,1971
S-IVB,,"-8.179  ̊ N, 26.031  ̊ E",-8.179,26.031,Apollo 14,US,1971
Passive Seismic Experiment (see below),,,,,Apollo 14,US,1971
Active Seismic Experiment (see below),,,,,Apollo 14,US,1971
Lunar Portable Magnetometer (see below),,,,,Apollo 14,US,1971
Suprathermal Ion Detector/Cold Cathode Gauge (SIDE/CCGE) (see below),,,,,Apollo 14,US,1971
Charged Particle Lunar Environment Experiment (CPLEE) (see below),,,,,Apollo 14,US,1971
Radioisotope Thermal Generator (see below),,,,,Apollo 14,US,1971
Modular Equipment Transporter (see below),,,,,Apollo 14,US,1971
LM Ascent Stage,1,"-3.42  ̊ N, -19.67  ̊ E",-3.42,-19.67,Apollo 14,US,1971
Central Station,,"-3.64398  ̊ N, -17.47748  ̊ E",-3.64398,-17.47748,Apollo 14,US,1971
Laser Range Reflector (see below),,"-3.64421  ̊ N, -17.47880  ̊ E",-3.64421,-17.4788,Apollo 14,US,1971
LM Descent Stage (plaque attached),1,"-3.64530  ̊ N, -17.47136  ̊ E",-3.6453,-17.47136,Apollo 14,US,1971
"Filter, Polarizing",1,,,,Apollo 14,US,1971
"Adapter, Bracket, Right. Angle, 16mm Camera",1,,,,Apollo 14,US,1971
"Camera, Lunar Surface, Electric Hasselblad  ",1,,,,Apollo 14,US,1971
"Lens, 60mm",1,,,,Apollo 14,US,1971
"Cable, Remote control, 16mm camera",1,,,,Apollo 14,US,1971
"Protective cover, Reseau",2,,,,Apollo 14,US,1971
"Trigger, Electric Hasselblad  camera",1,,,,Apollo 14,US,1971
"Handle, Electric Hasselblad camera ",1,,,,Apollo 14,US,1971
"Tether, EVA retractable",2,,,,Apollo 14,US,1971
"Checklist, EVA cuff  ",2,,,,Apollo 14,US,1971
"Brush, lens  ",1,,,,Apollo 14,US,1971
"Camera/Power  Assembly, 16mm L.S.",1,,,,Apollo 14,US,1971
"Camera, 16mm, battery operated",1,,,,Apollo 14,US,1971
"5mm lens, 16mm battery operated camera",1,,,,Apollo 14,US,1971
"Handle, 16mm battery operated camera",1,,,,Apollo 14,US,1971
"Power pack, 16mm battery operated camera",1,,,,Apollo 14,US,1971
"RCU bracket, 16mm battery operated camera ",1,,,,Apollo 14,US,1971
Remote control unit- PLSS (-6),2,,,,Apollo 14,US,1971
"Bracket, Camera mount (-6)",1,,,,Apollo 14,US,1971
"Cartridge/Canister, PLSS/LIOH (-6)",2,,,,Apollo 14,US,1971
"Battery, PLSS (-6)",2,,,,Apollo 14,US,1971
Defecation Collection Device,4,,,,Apollo 14,US,1971
"Boots, Lunar",2,,,,Apollo 14,US,1971
PLSS/EVCS assembly,1,,,,Apollo 14,US,1971
PLSS/EVCS assembly ,1,,,,Apollo 14,US,1971
"Collection bag, Calibrated, PLSS Feedwater",1,,,,Apollo 14,US,1971
"Collection bag, Calibrated, PLSS without Feedwater",1,,,,Apollo 14,US,1971
"Bag, Jettison stowage",3,,,,Apollo 14,US,1971
"Safety line, Lunar surface (100 feet) ",1,,,,Apollo 14,US,1971
"Towels, LM utility (Red)",2,,,,Apollo 14,US,1971
"Towels, LM utility (Blue)",2,,,,Apollo 14,US,1971
"Brush, Lunar dust",1,,,,Apollo 14,US,1971
"Bag, Lunar surface safety line",1,,,,Apollo 14,US,1971
"Device, in-suit, drinking",2,,,,Apollo 14,US,1971
Buddy SLSS Assembly,1,,,,Apollo 14,US,1971
"TV subsystem, Lunar (subsystem includes (a))",1,,,,Apollo 14,US,1971
"TV System, LM color (system includes (b))",1,,,,Apollo 14,US,1971
"Camera, Close-up stereo",1,,,,Apollo 14,US,1971
"Flag kit, Lunar surface",1,,,,Apollo 14,US,1971
"Transporter, Mobile equipment (MET)",1,,,,Apollo 14,US,1971
Earplugs,1 pair,,,,Apollo 14,US,1971
"Adapter, SRC/Ops",2,,,,Apollo 14,US,1971
"Canister, ECS LIOH ",1,,,,Apollo 14,US,1971
"Urine collection assembly, small",6,,,,Apollo 14,US,1971
"Bag, Emesis",4,,,,Apollo 14,US,1971
"Container assembly, Disposal",2,,,,Apollo 14,US,1971
"Container, PLSS condensate ",1,,,,Apollo 14,US,1971
"Antenna, S-band",1,,,,Apollo 14,US,1971
"Tripod, TV",1,,,,Apollo 14,US,1971
"Strap, ECS LIOH canister",1,,,,Apollo 14,US,1971
"Bag, Camera Mount Bracket",1,,,,Apollo 14,US,1971
Hammock Assembly,1,,,,Apollo 14,US,1971
Hammock Assembly ,1,,,,Apollo 14,US,1971
"Container, Buddy SLLSS Assembly-Stowage",1,,,,Apollo 14,US,1971
"Bag, 16mm Camera-Stowage",1,,,,Apollo 14,US,1971
Foam side,1,,,,Apollo 14,US,1971
Foam side ,1,,,,Apollo 14,US,1971
Strap assembly,1,,,,Apollo 14,US,1971
"Webbing, Tiedown-Contingency",1,,,,Apollo 14,US,1971
"Pallet assembly, magnetometer ",1,,,,Apollo 14,US,1971
Strao assembly,1,,,,Apollo 14,US,1971
Mounting Assembly RTG Fuel Cask  ,1,,,,Apollo 14,US,1971
Fuel cask,1,,,,Apollo 14,US,1971
Fuel capsule assembly,1,,,,Apollo 14,US,1971
Pallet assembly No.1 (includes (c)),1,,,,Apollo 14,US,1971
Pallet assembly No.2 (includes (d)) ,1,,,,Apollo 14,US,1971
Hammer,1,,,,Apollo 14,US,1971
"Scoop, lunar sample (Large)",1,,,,Apollo 14,US,1971
"Tool, extension",1,,,,Apollo 14,US,1971
Tongs  ,1,,,,Apollo 14,US,1971
Gnomon,1,,,,Apollo 14,US,1971
"Tool assembly, Trenching-Adjustable",1,,,,Apollo 14,US,1971
"Scale, sample",1,,,,Apollo 14,US,1971
"Reflector, Laser ranging retro",1,,,,Apollo 14,US,1971
ASE cable anchor (Apollo sample Penetrometer),1,,,,Apollo 14,US,1971
"(a) Camera, Lunar TV",1,,,,Apollo 14,US,1971
"(a) Lens, TV lunar day",1,,,,Apollo 14,US,1971
"(a) Cover, Dust, Lens ",1,,,,Apollo 14,US,1971
"(a) Cover, Connector, Dust",1,,,,Apollo 14,US,1971
"(b) Camera, LM Color TV",1,,,,Apollo 14,US,1971
"(b) Zoom lens, LM Color TV",1,,,,Apollo 14,US,1971
"(b) Cable, LM Color TV",1,,,,Apollo 14,US,1971
"(b) Cover, LM TV lens",1,,,,Apollo 14,US,1971
(c) Active Seismic Experiment,1,,,,Apollo 14,US,1971
(c) Passive Seismic Experiment ,1,,,,Apollo 14,US,1971
(c) Charged Particule Lunar Environment Experiment,1,,,,Apollo 14,US,1971
