object,count,location_raw,north,east,us_category,country,launch_year
"Bits, Solid Face Bore",2,,,,Apollo 16,US,1972
"Bit, Open Face Core ",1,,,,Apollo 16,US,1972
"Reducer, Core Bit ",1,,,,Apollo 16,US,1972
"Bag, Core Stem Teflon ",1,,,,Apollo 16,US,1972
"Bag, Core Stem Teflon ",1,,,,Apollo 16,US,1972
"Camera, 16mm Battery Operated",1,,,,Apollo 16,US,1972
"Lens, 10mm, 16mm Battery Operated Camera",1,,,,Apollo 16,US,1972
"Handle , 16mm Battery Operated Camera",1,,,,Apollo 16,US,1972
"Power Pack, 16mm Battery Operated Camera",1,,,,Apollo 16,US,1972
"RCU Bracket, 16mm Battery Operated Camera",1,,,,Apollo 16,US,1972
"(d) CTV camera, color TV",1,,,,Apollo 16,US,1972
(d) TCU (Television control unit),1,,,,Apollo 16,US,1972
"(d) stowage container, LCRU ancillary items",1,,,,Apollo 16,US,1972
"(e) Batteries, LCRU",2,,,,Apollo 16,US,1972
(e) Antenna assembly hi gain,1,,,,Apollo 16,US,1972
(e) Antenna assembly lo gain ,1,,,,Apollo 16,US,1972
"(f) Experiment, passive seismic",1,,,,Apollo 16,US,1972
"(f) Experiment, Active seismic",1,,,,Apollo 16,US,1972
"(f) Experiment, heat flow  ",1,,,,Apollo 16,US,1972
"(g) Stool, PSE leveling  ",1,,,,Apollo 16,US,1972
"(g) Generator, radioisotope, thermoelectric",1,,,,Apollo 16,US,1972
"(g) Tools, ALSEP deployment",1,,,,Apollo 16,US,1972
"(g) Anchor, ASE-cable  ",2,,,,Apollo 16,US,1972
"(f) Magnetometer, Lunar surface",1,,,,Apollo 16,US,1972
Large Base Assembly,1,,,,Apollo 16,US,1972
"Cone, .20",1,,,,Apollo 16,US,1972
"Cone Assembly, 1.0",1,,,,Apollo 16,US,1972
Cover Assembly  ,1,,,,Apollo 16,US,1972
"(a) Camera , 16mm, battery operated",1,,,,Apollo 16,US,1972
"(a) Lens, 10mm, 16mm battery operated camera",1,,,,Apollo 16,US,1972
"(a) Handle, 16mm battery operated camera",1,,,,Apollo 16,US,1972
"(a) Power pack, 16mm battery operated camera",1,,,,Apollo 16,US,1972
"(a) RCU bracket, 16mm battery operated camera",1,,,,Apollo 16,US,1972
(b) PLSS,1,,,,Apollo 16,US,1972
(b) EVCS-1,1,,,,Apollo 16,US,1972
"(b) Battery, PLSS",1,,,,Apollo 16,US,1972
"(b) Cartridge, LIOH",1,,,,Apollo 16,US,1972
"(b) Cover, Gas Connector",1,,,,Apollo 16,US,1972
"(b) Cover, MWC dust (multiple water connector)",1,,,,Apollo 16,US,1972
"(b) Cover, electrical connector, dust",1,,,,Apollo 16,US,1972
(c) PLSS,1,,,,Apollo 16,US,1972
(c) EVCS-2,1,,,,Apollo 16,US,1972
"(c) Battery, PLSS",1,,,,Apollo 16,US,1972
"(c) Cartridge, LIOH",1,,,,Apollo 16,US,1972
"(c) Cover, Gas Connector",1,,,,Apollo 16,US,1972
"(c) Cover, MWC dust (multiple water connector)",1,,,,Apollo 16,US,1972
"(c) Cover, electrical connector, dust",1,,,,Apollo 16,US,1972
"Cone, .5",1,,,,Apollo 16,US,1972
"Camera, L.S. Electric",1,,,,Apollo 16,US,1972
"Lens , 500mm  ",1,,,,Apollo 16,US,1972
Ringsight  ,1,,,,Apollo 16,US,1972
"Shelf, interim stowage",1,,,,Apollo 16,US,1972
"Garment, liquid cooling",1,,,,Apollo 16,US,1972
Remote control unit-PLSS,2,,,,Apollo 16,US,1972
"Bracket, camera mount (-7)",2,,,,Apollo 16,US,1972
Cartridge container  PLSS/LIOH,4,,,,Apollo 16,US,1972
"Container Assy., protective, PLSS/LIOH",4,,,,Apollo 16,US,1972
Container PLSS/LIOH,4,,,,Apollo 16,US,1972
"Battery, PLSS (-7)",4,,,,Apollo 16,US,1972
"Kit, Lec-waist tether",1,,,,Apollo 16,US,1972
"Bag Assy., Lec-waist ",1,,,,Apollo 16,US,1972
Lifeline (lightweight),1,,,,Apollo 16,US,1972
"Bag, deployment, lifeline",1,,,,Apollo 16,US,1972
"Tether, waist, EVA, left ",1,,,,Apollo 16,US,1972
"Tether, waist, EVA, right",1,,,,Apollo 16,US,1972
Straps  ,1,,,,Apollo 16,US,1972
"Lifeline, lunarnar equipment (LELL)",1,,,,Apollo 16,US,1972
"(h) Scoop, large adjustable",1,,,,Apollo 16,US,1972
(h) Hammer  ,1,,,,Apollo 16,US,1972
"(h) Tool Assy., drive tube",1,,,,Apollo 16,US,1972
Charles Duke family photograph,,,,,Apollo 16,US,1972
Silver medallion for 25th anniversary of U.S. Air Force,,,,,Apollo 16,US,1972
Tie tack,,,,,Apollo 16,US,1972
Landing Location,,"20.10  ̊ N, 30.46  ̊ E",20.1,30.46,Apollo 17,US,1972
S-IVB,,"-4.167  ̊ N, -12.33  ̊ E",-4.167,-12.33,Apollo 17,US,1972
Surface Electrical Properties Experiment Receiver-Recorder (see below),,,,,Apollo 17,US,1972
Surface Electrical Properties Experiment Transmitter (see below),,,,,Apollo 17,US,1972
Lunar Ejecta and Meteorite Experiment (see below),,,,,Apollo 17,US,1972
Module & Cable Reels of Lunar Seismic Profiling Experiment (see below),,,,,Apollo 17,US,1972
Lunar Seismic Profiling Experiment (see below),,,,,Apollo 17,US,1972
Lunar Mass Spectrometer (see below),,,,,Apollo 17,US,1972
Traverse Gravimeter Experiment (see below),,,,,Apollo 17,US,1972
Lunar Surface Gravimeter (see below),,,,,Apollo 17,US,1972
Radioisotope Thermal Generator (see below),,,,,Apollo 17,US,1972
Lunar Roving Vehicle (see below),,,,,Apollo 17,US,1972
Ascent Stage,,"19.96  ̊ N, 30.50  ̊ E",19.96,30.5,Apollo 17,US,1972
Central Station,,"20.19209  ̊ N, 30.76492  ̊ E",20.19209,30.76492,Apollo 17,US,1972
LM Descent Stage (plaque attached),,"20.19080  ̊ N, 30.77168  ̊ E",20.1908,30.77168,Apollo 17,US,1972
"Filter, Polarizing",1,,,,Apollo 17,US,1972
"Camera, Hasselblad-Electric, Data",2,,,,Apollo 17,US,1972
"Lens, 60mm",2,,,,Apollo 17,US,1972
"Adapter Bracet, Rt. Angle, (16mm DAO)",1,,,,Apollo 17,US,1972
"Protective cover, Reseau",3,,,,Apollo 17,US,1972
"Trigger, Hasselblad- Electric Data ",2,,,,Apollo 17,US,1972
"Handle, Hasselblad- Electric Data ",2,,,,Apollo 17,US,1972
Tether EVA Retractable,2,,,,Apollo 17,US,1972
"Brush, Lens",2,,,,Apollo 17,US,1972
"Camera, L.S. Electric",1,,,,Apollo 17,US,1972
"Lens, 500mm",1,,,,Apollo 17,US,1972
Ringsight  ,1,,,,Apollo 17,US,1972
"Shelf, Interim stowage",1,,,,Apollo 17,US,1972
Wrist Mirror,2,,,,Apollo 17,US,1972
Watchband ,2,,,,Apollo 17,US,1972
Remote Control unit- PLSS,2,,,,Apollo 17,US,1972
"Bracket, camera mount (-7)",2,,,,Apollo 17,US,1972
"Cartridge Cont. Assy., PLSS/LIOH",4,,,,Apollo 17,US,1972
"Container Assy., Protective- PLSS LIOH",4,,,,Apollo 17,US,1972
"Cartridge, PLSS LIOH",4,,,,Apollo 17,US,1972
"Utility Towel Assy., LM",1,,,,Apollo 17,US,1972
Defecation Collection Device,12,,,,Apollo 17,US,1972
"Gloves, EV Pair",2,,,,Apollo 17,US,1972
"Boots , Lunar pair",2,,,,Apollo 17,US,1972
"Kit, LEC waist tether (a)",1,,,,Apollo 17,US,1972
"Lift Line, Lunar equipment (LELL)",1,,,,Apollo 17,US,1972
PLSS/EVCS Assy.-LMP,1,,,,Apollo 17,US,1972
PLSS ,1,,,,Apollo 17,US,1972
EVCS-2,1,,,,Apollo 17,US,1972
"Battery, PLSS",1,,,,Apollo 17,US,1972
"Cartridge, LIOH",1,,,,Apollo 17,US,1972
"Cover, Gas connector",1,,,,Apollo 17,US,1972
"Cover, MWC Dust (Multiple Water Connector)",1,,,,Apollo 17,US,1972
"Cover, Electrical connector, Dust",1,,,,Apollo 17,US,1972
PLSS/EVCS Assy.- Cdr,1,,,,Apollo 17,US,1972
PLSS,1,,,,Apollo 17,US,1972
EVCS-1,1,,,,Apollo 17,US,1972
"Battery, PLSS",1,,,,Apollo 17,US,1972
"Cartridge, LIOH",1,,,,Apollo 17,US,1972
"Cover, Gas connector",1,,,,Apollo 17,US,1972
"Cover, MWC dust (Multiple Water Connector)",1,,,,Apollo 17,US,1972
"Cover, Electrical connector, Dust",1,,,,Apollo 17,US,1972
"Bag, Jettison stowage",4,,,,Apollo 17,US,1972
"Dispenser, Tissue",2,,,,Apollo 17,US,1972
LCG Adapter  ,2,,,,Apollo 17,US,1972
"Jacket assy., ICG",2,,,,Apollo 17,US,1972
"Trousear assy., ICG",2,,,,Apollo 17,US,1972
"Boot, right ICG",2,,,,Apollo 17,US,1972
"Boot, left ICG",2,,,,Apollo 17,US,1972
"Towels, LM, Utility (Red)",2,,,,Apollo 17,US,1972
"Towels, UK Utility (Blue) ",2,,,,Apollo 17,US,1972
"Brush, Lunar Dust",1,,,,Apollo 17,US,1972
"Device, In-suit, Drinking",4,,,,Apollo 17,US,1972
"Buddy, SLSS Assy.",1,,,,Apollo 17,US,1972
Sleeping Restraint Assy.,2,,,,Apollo 17,US,1972
"Tool Carrier, PLSS (Cdr) ",1,,,,Apollo 17,US,1972
"Tool Carrier, PLSS (LMP)",1,,,,Apollo 17,US,1972
LCRU Retainer,1,,,,Apollo 17,US,1972
Helpmet and LEVA interim stowage container assembly,1,,,,Apollo 17,US,1972
"Antenna Repair Kit, Ops",1,,,,Apollo 17,US,1972
"Lanyard, IV ITLSA Donning",1,,,,Apollo 17,US,1972
"Bag, LM Personal Hygiene Kit",1,,,,Apollo 17,US,1972
Nail Clippers,1,,,,Apollo 17,US,1972
Soap  ,1,,,,Apollo 17,US,1972
"Food Assy., LM (A/S)",1,,,,Apollo 17,US,1972
"Food Assy., LM (D/S Pallet No. 1)",1,,,,Apollo 17,US,1972
"Wet Wipes, Facial",1,,,,Apollo 17,US,1972
"Ointment, Mycolog Bact.",1,,,,Apollo 17,US,1972
GCTA-Ground controlled television assembly,1,,,,Apollo 17,US,1972
"CTV-Camera, color TV",1,,,,Apollo 17,US,1972
TCU-Television control unit,1,,,,Apollo 17,US,1972
"Stowage mount assy., TV camera",1,,,,Apollo 17,US,1972
Communication relay system,1,,,,Apollo 17,US,1972
"LCRU, (Lunar communications relay unit)",1,,,,Apollo 17,US,1972
Stowage container; LCRU ancillary items,1,,,,Apollo 17,US,1972
"Batteries, LCRU",2,,,,Apollo 17,US,1972
"Antenna Assy., Hi-gain",1,,,,Apollo 17,US,1972
"Antenna Assy., Lo-gain ",1,,,,Apollo 17,US,1972
Helper spring  TCU cradle,1,,,,Apollo 17,US,1972
Lunar Roving Vehicle,1,,,,Apollo 17,US,1972
"Flag kit, Lunar surface",1,,,,Apollo 17,US,1972
"Adapter assy., 20 DSBD 70mm Hasselblad",2,,,,Apollo 17,US,1972
"Staff Looaps sy., Lo-gain",1,,,,Apollo 17,US,1972
"Sun Shade, GCTA",1,,,,Apollo 17,US,1972
"Staff Assy., LRV accessory",1,,,,Apollo 17,US,1972
"Map holder adapter, loop assy.",1,,,,Apollo 17,US,1972
"Map holder, LRV",1,,,,Apollo 17,US,1972
"Loop Assy., adapter",1,,,,Apollo 17,US,1972
"Adapter, SRC/Ops ",2,,,,Apollo 17,US,1972
"Canisters, ECS LIOH",1,,,,Apollo 17,US,1972
Urine collection assy. (small),1,,,,Apollo 17,US,1972
"Bag, Emesis",1,,,,Apollo 17,US,1972
"Bag, Equipment transfer",1,,,,Apollo 17,US,1972
"Strap, ECS LIOH canister",1,,,,Apollo 17,US,1972
"Strap, LIOH",1,,,,Apollo 17,US,1972
Urine receptacle system,1,,,,Apollo 17,US,1972
"Pallet assy. No.1, Equipment transfer",1,,,,Apollo 17,US,1972
"Pallet assy. No.2, Equipment transfer ",1,,,,Apollo 17,US,1972
"Pallet assy. No.4, Equipment transfer ",1,,,,Apollo 17,US,1972
Hammock assembly ,1,,,,Apollo 17,US,1972
Hammock assembly ,1,,,,Apollo 17,US,1972
"Container Buddy SLSS assy., Stowage",1,,,,Apollo 17,US,1972
"Pallet, LRV aft chassis",1,,,,Apollo 17,US,1972
"Pallet, Quad 3- Payload",1,,,,Apollo 17,US,1972
"Webbing, Tie-down contingency",1,,,,Apollo 17,US,1972
"Vise device, Drill string",1,,,,Apollo 17,US,1972
"Bag, Stowage, 500mm system",1,,,,Apollo 17,US,1972
"Canister, ECS LIOH",1,,,,Apollo 17,US,1972
"Strap assy., Sleep restraint",1,,,,Apollo 17,US,1972
"Container, Bore/Core stem stowage",1,,,,Apollo 17,US,1972
"Cover, Bore/Core stem stowage",1,,,,Apollo 17,US,1972
"Retainer assy., Lower",1,,,,Apollo 17,US,1972
"Retainer assy., Upper ",1,,,,Apollo 17,US,1972
"Cover assy., Retainer",1,,,,Apollo 17,US,1972
Spacer (Core and Bore stem stowage) ,1,,,,Apollo 17,US,1972
Spacer (Core and Bore stem stowage) ,1,,,,Apollo 17,US,1972
"Stowage Retainer, GCTA sunshade",1,,,,Apollo 17,US,1972
"Stowage strap assy., GCTA sunshade",1,,,,Apollo 17,US,1972
"Bag, Neutron probe, Thermal",1,,,,Apollo 17,US,1972
"Mounting Assy., Rig. Fuel cask",1,,,,Apollo 17,US,1972
Fuel cask,1,,,,Apollo 17,US,1972
Fuel capsule assembly,1,,,,Apollo 17,US,1972
"Pallet assy., No. 1",1,,,,Apollo 17,US,1972
Lunar seimsmic profiling experiment (S-203),1,,,,Apollo 17,US,1972
Lunar mass spectrometer (S-205),1,,,,Apollo 17,US,1972
"Gravimeter, Lunar surface (S-207)",1,,,,Apollo 17,US,1972
"Pallet assy., No.2",1,,,,Apollo 17,US,1972
Heat flow experiment (S-037),1,,,,Apollo 17,US,1972
"Generator, Radioisotope thermoelectric",1,,,,Apollo 17,US,1972
"Tools, ALSEP deployment",1,,,,Apollo 17,US,1972
Lunar ejecta & micrometeoroid experim. (S-202),1,,,,Apollo 17,US,1972
Tool extension,2,,,,Apollo 17,US,1972
Tongs  ,2,,,,Apollo 17,US,1972
Gnomon,1,,,,Apollo 17,US,1972
"Scoop, large adjustable",1,,,,Apollo 17,US,1972
Hammer,1,,,,Apollo 17,US,1972
"Tool Assy., Drive tool",1,,,,Apollo 17,US,1972
"Transmitter, Sep. exp.",1,,,,Apollo 17,US,1972
"Receiver, Sep. exp.",1,,,,Apollo 17,US,1972
"Gravimeter, Traverse (S-199)",1,,,,Apollo 17,US,1972
"Drill assy., Apollo L.S.",1,,,,Apollo 17,US,1972
"Rake, Lunar sampling",1,,,,Apollo 17,US,1972
"Bore stem, Lower",2,,,,Apollo 17,US,1972
"Bore stem, Upper ",4,,,,Apollo 17,US,1972
"Transport module assy., (LLSSPP charges)",1,,,,Apollo 17,US,1972
"Transport module assy., (LLSSPP charges)",1,,,,Apollo 17,US,1972
"Bits, solid face bore",2,,,,Apollo 17,US,1972
"Reducer, core bit ",1,,,,Apollo 17,US,1972
"Sampler, LRV soil ",1,,,,Apollo 17,US,1972
"Bag, Core stem Teflon ",1,,,,Apollo 17,US,1972
"Bag, Core stem Teflon ",1,,,,Apollo 17,US,1972
Earplug and overwrap pouch assy.,1,,,,Apollo 17,US,1972
"Food assembly, (D/S Pallet No. 2)",1,,,,Apollo 17,US,1972
"Battery, PLSS (-7)",4,,,,Apollo 17,US,1972
"(a) Bag Assy., LEC+wt.",1,,,,Apollo 17,US,1972
"Garment, constant wear",2,,,,Apollo 17,US,1972
"Garment, liquid cooling",2,,,,Apollo 17,US,1972
Luna 2,,"29.1  ̊ N, 0  ̊ E",29.1,0,,Soviet,1959
Luna 5,,"8  ̊ N, -23  ̊ E",8,-23,,Soviet,1965
Luna 7,,"9.8  ̊ N, -47.8  ̊ E",9.8,-47.8,,Soviet,1965
Luna 8,,"9.1  ̊ N, -63.3  ̊ E",9.1,-63.3,,Soviet,1965
Luna 9,,"7.08  ̊ N, -64.37  ̊ E",7.08,-64.37,,Soviet,1966
Luna 10,,,,,,Soviet,1966
Luna 11,,,,,,Soviet,1966
Luna 12,,,,,,Soviet,1966
Luna 13,,"18.87  ̊ N, -62.05  ̊ E",18.87,-62.05,,Soviet,1966
Luna 14,,,,,,Soviet,1968
Luna 15,,,,,,Soviet,1969
Luna 16 descent stage,,"-0.513  ̊ N, 56.364  ̊ E",-0.513,56.364,,Soviet,1970
Luna 17 Lander,,"38.238  ̊ N, -34.997  ̊ E",38.238,-34.997,,Soviet,1970
Lunokhod 1,,"38.316  ̊ N, -35.004  ̊ E",38.316,-35.004,,Soviet,1970
Luna 18,,"3.760  ̊ N, 56.655  ̊ E",3.76,56.655,,Soviet,1971
Luna 19,,,,,,Soviet,1971
Luna 20 descent stage,,"3.787  ̊ N, 56.625  ̊ E",3.787,56.625,,Soviet,1972
Luna 21 Lander,,"26.003  ̊ N, 30.408  ̊ E",26.003,30.408,,Soviet,1973
Lunokhod 2,,"25.827  ̊ N, 30.919  ̊ E",25.827,30.919,,Soviet,1973
Luna 22,,,,,,Soviet,1974
Luna 23,,"12.666  ̊ N, 62.151  ̊ E",12.666,62.151,,Soviet,1974
Luna 24 descent stage,,"12.714  ̊ N, 62.213  ̊ E",12.714,62.213,,Soviet,1976
Chang’e 1 Orbiter,,"-1.50  ̊ N, 52.36  ̊ E",-1.5,52.36,,China,2007
Chandrayaan-1 Lunar Orbiter,,South Pole,South Pole,,,India,2008
Moon Impact Probe,,South Pole,South Pole,,,India,2008
Hiten spacecraft,,"55.3  ̊ N, -34.0  ̊ E",55.3,-34,,Japan,1990
Hagoromo orbiter satellite,,crash not confirmed,crash not confirmed,,,Japan,1990
Kaguya orbiter (SELENE),,"-65.5  ̊ N, 80.4  ̊ E",-65.5,80.4,,Japan,2007
"VRAD Subsatellite (""Ouna"")",,,,,,Japan,2007
"Relay Subsatellite (""Okina"")",,,,,,Japan,2007
SMART-1 (controlled crash),,"-34.4  ̊ N, - 46.2  ̊ E",-34.4,-46.2,,ESA,2006